Clean_Time,Seconds,Elapsed
0:00:00,0,0
0:00:00,0,30
0:00:30,30,33
0:01:03,63,122
0:03:05,185,7
0:03:12,192,108
0:05:00,300,12
0:05:12,312,9
0:05:21,321,1
0:05:22,322,12
0:05:34,334,18
0:05:52,352,20
0:06:12,372,13
0:06:25,385,28
0:06:53,413,2
0:06:55,415,74
0:08:09,489,1
0:08:10,490,52
0:09:02,542,1
0:09:03,543,66
0:10:09,609,10
0:10:19,619,1
0:10:20,620,2
0:10:22,622,33
0:10:55,655,1
0:10:56,656,1
0:10:57,657,1
0:10:58,658,17
0:11:15,675,1
0:11:16,676,26
0:11:42,702,1
0:11:43,703,29
0:12:12,732,1
0:12:13,733,3
0:12:16,736,7
0:12:23,743,3
0:12:26,746,4
0:12:30,750,3
0:12:33,753,0
0:12:33,753,18
0:12:51,771,30
0:13:21,801,3
0:13:24,804,39
0:14:03,843,2
0:14:05,845,2
0:14:07,847,1
0:14:08,848,38
0:14:46,886,18
0:15:04,904,45
0:15:49,949,2
0:15:51,951,46
0:16:37,997,2
0:16:39,999,35
0:17:14,1034,0
0:17:14,1034,40
0:17:54,1074,6
0:18:00,1080,2
0:18:02,1082,40
0:18:42,1122,16
0:18:58,1138,45
0:19:43,1183,2
0:19:45,1185,45
0:20:30,1230,1
0:20:31,1231,2
0:20:33,1233,42
0:21:15,1275,2
0:21:17,1277,1
0:21:18,1278,30
0:21:48,1308,117
0:23:45,1425,11
0:23:56,1436,125
0:26:01,1561,5
0:26:06,1566,58
0:27:04,1624,2
0:27:06,1626,36
0:27:42,1662,2
0:27:44,1664,38
0:28:22,1702,13
0:28:35,1715,29
0:29:04,1744,8
0:29:12,1752,1
0:29:13,1753,2
0:29:15,1755,27
0:29:42,1782,4
0:29:46,1786,55
0:30:41,1841,15
0:30:56,1856,62
0:31:58,1918,2
0:32:00,1920,1
0:32:01,1921,1
0:32:02,1922,25
0:32:27,1947,4
0:32:31,1951,4
0:32:35,1955,17
0:32:52,1972,34
0:33:26,2006,1
0:33:27,2007,27
0:33:54,2034,22
0:34:16,2056,77
0:35:33,2133,2
0:35:35,2135,2
0:35:37,2137,2
0:35:39,2139,2
0:35:41,2141,1
0:35:42,2142,14
0:35:56,2156,0
0:35:56,2156,7
0:36:03,2163,4
0:36:07,2167,1
0:36:08,2168,4
0:36:12,2172,2
0:36:14,2174,1
0:36:15,2175,1
0:36:16,2176,4
0:36:20,2180,0
0:36:20,2180,22
0:36:42,2202,7
0:36:49,2209,37
0:37:26,2246,2
0:37:28,2248,1
0:37:29,2249,2
0:37:31,2251,9
0:37:40,2260,0
0:37:40,2260,4
0:37:44,2264,0
0:37:44,2264,4
0:37:48,2268,24
0:38:12,2292,53
0:39:05,2345,10
0:39:15,2355,50
0:40:05,2405,7
0:40:12,2412,9
0:40:21,2421,3
0:40:24,2424,0
0:40:24,2424,2
0:40:26,2426,6
0:40:32,2432,1
0:40:33,2433,10
0:40:43,2443,0
0:40:43,2443,27
0:41:10,2470,2
0:41:12,2472,2
0:41:14,2474,4
0:41:18,2478,4
0:41:22,2482,25
0:41:47,2507,82
0:43:09,2589,123
0:45:12,2712,13
0:45:25,2725,115
0:47:20,2840,18
0:47:38,2858,51
0:48:29,2909,2
0:48:31,2911,53
0:49:24,2964,5
0:49:29,2969,1
0:49:30,2970,0
0:49:30,2970,3
0:49:33,2973,0
0:49:33,2973,33
0:50:06,3006,1
0:50:07,3007,1
0:50:08,3008,21
0:50:29,3029,2
0:50:31,3031,0
0:50:31,3031,3
0:50:34,3034,43
0:51:17,3077,1
0:51:18,3078,0
0:51:18,3078,10
0:51:28,3088,3
0:51:31,3091,7
0:51:38,3098,1
0:51:39,3099,0
0:51:39,3099,2
0:51:41,3101,30
0:52:11,3131,3
0:52:14,3134,1
0:52:15,3135,8
0:52:23,3143,1
0:52:24,3144,2
0:52:26,3146,21
0:52:47,3167,2
0:52:49,3169,2
0:52:51,3171,28
0:53:19,3199,1
0:53:20,3200,11
0:53:31,3211,2
0:53:33,3213,-1
0:53:32,3212,10
0:53:42,3222,43
0:54:25,3265,43
0:55:08,3308,1
0:55:09,3309,30
0:55:39,3339,14
0:55:53,3353,41
0:56:34,3394,1
0:56:35,3395,19
0:56:54,3414,0
0:56:54,3414,9
0:57:03,3423,5
0:57:08,3428,0
0:57:08,3428,2
0:57:10,3430,24
0:57:34,3454,4
0:57:38,3458,25
0:58:03,3483,23
0:58:26,3506,20
0:58:46,3526,2
0:58:48,3528,20
0:59:08,3548,0
0:59:08,3548,9
0:59:17,3557,4
0:59:21,3561,26
0:59:47,3587,1
0:59:48,3588,8
0:59:56,3596,1
0:59:57,3597,1
0:59:58,3598,20
1:00:18,3618,1
1:00:19,3619,8
1:00:27,3627,2
1:00:29,3629,5
1:00:34,3634,18
1:00:52,3652,59
1:01:51,3711,2
1:01:53,3713,18
1:02:11,3731,6
1:02:17,3737,38
1:02:55,3775,3
1:02:58,3778,15
1:03:13,3793,1
1:03:14,3794,30
1:03:44,3824,5
1:03:49,3829,1
1:03:50,3830,1
1:03:51,3831,3
1:03:54,3834,1
1:03:55,3835,-4
1:03:51,3831,6
1:03:57,3837,2
1:03:59,3839,5
1:04:04,3844,1
1:04:05,3845,5
1:04:10,3850,33
1:04:43,3883,109
1:06:32,3992,9
1:06:41,4001,107
1:08:28,4108,5
1:08:33,4113,91
1:10:04,4204,6
1:10:10,4210,0
1:10:10,4210,9
1:10:19,4219,1
1:10:20,4220,14
1:10:34,4234,4
1:10:38,4238,22
1:11:00,4260,1
1:11:01,4261,3
1:11:04,4264,1
1:11:05,4265,14
1:11:19,4279,1
1:11:20,4280,1
1:11:21,4281,4
1:11:25,4285,4
1:11:29,4289,1
1:11:30,4290,2
1:11:32,4292,19
1:11:51,4311,7
1:11:58,4318,2
1:12:00,4320,3
1:12:03,4323,2
1:12:05,4325,4
1:12:09,4329,23
1:12:32,4352,31
1:13:03,4383,3
1:13:06,4386,29
1:13:35,4415,4
1:13:39,4419,33
1:14:12,4452,4
1:14:16,4456,3
1:14:19,4459,2
1:14:21,4461,21
1:14:42,4482,0
1:14:42,4482,8
1:14:50,4490,30
1:15:20,4520,52
1:16:12,4572,22
1:16:34,4594,5
1:16:39,4599,1
1:16:40,4600,28
1:17:08,4628,21
1:17:29,4649,5
1:17:34,4654,3
1:17:37,4657,2
1:17:39,4659,4
1:17:43,4663,1
1:17:44,4664,4
1:17:48,4668,27
1:18:15,4695,95
1:19:50,4790,1
1:19:51,4791,1
1:19:52,4792,3
1:19:55,4795,112
1:21:47,4907,1
1:21:48,4908,74
1:23:02,4982,9
1:23:11,4991,49
1:24:00,5040,0
1:24:00,5040,36
1:24:36,5076,2
1:24:38,5078,9
1:24:47,5087,0
1:24:47,5087,14
1:25:01,5101,3
1:25:04,5104,2
1:25:06,5106,2
1:25:08,5108,2
1:25:10,5110,1
1:25:11,5111,4
1:25:15,5115,2
1:25:17,5117,27
1:25:44,5144,4
1:25:48,5148,12
1:26:00,5160,5
1:26:05,5165,21
1:26:26,5186,56
1:27:22,5242,4
1:27:26,5246,46
1:28:12,5292,2
1:28:14,5294,3
1:28:17,5297,2
1:28:19,5299,2
1:28:21,5301,1
1:28:22,5302,2
1:28:24,5304,3
1:28:27,5307,4
1:28:31,5311,21
1:28:52,5332,2
1:28:54,5334,2
1:28:56,5336,3
1:28:59,5339,1
1:29:00,5340,7
1:29:07,5347,5
1:29:12,5352,13
1:29:25,5365,1
1:29:26,5366,1
1:29:27,5367,3
1:29:30,5370,3
1:29:33,5373,1
1:29:34,5374,16
1:29:50,5390,60
1:30:50,5450,10
1:31:00,5460,60
1:32:00,5520,23
